English-BattleFieldVN01-1  BATTLEFIELD VIETNAM  ; xxx 
English-BattleFieldVN04-163  ROUTE 13  ; xxx 
English-BattleFieldVN04-164  By mid 1966 the U.S. commander General Westmoreland...  ; xxx 
English-BattleFieldVN04-165  ...was getting more and more impatient.  ; xxx 
English-BattleFieldVN04-166  His whole strategy depended on causing the enemy...  ; xxx 
English-BattleFieldVN04-167  ...to lose men and equipment faster than they could be replaced.  ; xxx 
English-BattleFieldVN04-168  For that, Westmoreland needed big battles.  ; xxx 
English-BattleFieldVN04-169  He ordered the 1st Division to make...  ; xxx 
English-BattleFieldVN04-170  ...more substantial contact with the Vietcong.  ; xxx 
English-BattleFieldVN04-171  Most of the battles that did happen were started...  ; xxx 
English-BattleFieldVN04-172  ...not by the Americans, but by the NLF's 9th Division.  ; xxx 
English-BattleFieldVN04-173  Route 13, linking Saigon to the Cambodian border,...  ; xxx 
English-BattleFieldVN04-174  ...was the site for major ambushes.  ; xxx 
English-BattleFieldVN04-175  In some, the guerrilla struck with 1,000 troops at a time.  ; xxx 
English-BattleFieldVN04-176  In one attack after another on route 13,...  ; xxx 
English-BattleFieldVN04-177  ...U.S. tanks and armored vehicles were destroyed.  ; xxx 
English-BattleFieldVN04-178  On June 30th 1966, a major battle nearly ended...  ; xxx 
English-BattleFieldVN04-179  ...in complete disaster for the Americans.  ; xxx 
English-BattleFieldVN04-180  It was fiercely effective air and artillery support that saved the day.  ; xxx 
English-BattleFieldVN04-181  Soon after the battles the whole NLF 9th division...  ; xxx 
English-BattleFieldVN04-182  ...moved back into its most impenetrable base areas.  ; xxx 
English-BattleFieldVN04-183  Some crossed over into Cambodia.  ; xxx 
English-BattleFieldVN04-184  There, General Thanh meant to rebuild the division...  ; xxx 
English-BattleFieldVN04-185  ...for a new campaign in November the start of a new dry season.  ; xxx 
English-BattleFieldVN04-186  THE HIGHLANDS  ; xxx 
English-BattleFieldVN04-187  In the past year, the strength of the North Vietnamese regular army...  ; xxx 
English-BattleFieldVN04-188  ...inside the South, had risen to upwards of 60,000 men.  ; xxx 
English-BattleFieldVN04-189  Of these 10,000 were concentrated in the remote central highlands.  ; xxx 
English-BattleFieldVN04-190  It was this area that General Giap the North Vietnamese Army commander...  ; xxx 
English-BattleFieldVN04-191  ...saw as a killing zone, a battlefield on which enormous casualties...  ; xxx 
English-BattleFieldVN04-192  ...could be inflicted on the enemy.  ; xxx 
English-BattleFieldVN04-193  Giap believed that the forests and mountains of the central highlands...  ; xxx 
English-BattleFieldVN04-194  ...were specially well suited to big military operations.  ; xxx 
English-BattleFieldVN04-195  Whole regiments could be hidden and the Highlands weather...  ; xxx 
English-BattleFieldVN04-196  ...could be relied on to disrupt American air power.  ; xxx 
English-BattleFieldVN04-197  The troops would also be close to supplies and reinforcements...  ; xxx 
English-BattleFieldVN04-198  ...across the Cambodian border.  ; xxx 
English-BattleFieldVN04-199  As fighting units, the NVA were tough,...  ; xxx 
English-BattleFieldVN04-200  ...well disciplined and well trained.  ; xxx 
English-BattleFieldVN04-201  For months they had been constantly on the offensive.  ; xxx 
English-BattleFieldVN04-202  Their main target was the South Vietnamese Army.  ; xxx 
English-BattleFieldVN04-203  But isolated American Special Forces camps were also hit.  ; xxx 
English-BattleFieldVN04-204  Increasingly, attacks were carried out by units up to 2,000 strong.  ; xxx 
English-BattleFieldVN04-205  The North Vietnamese Army units in the Central Highlands of Vietnam  ; xxx 
English-BattleFieldVN04-206  were part of a strategy meant to keep the Americans off-balance.  ; xxx 
English-BattleFieldVN04-207  There were powerful NVA divisions on the Demilitarized Zone...  ; xxx 
English-BattleFieldVN04-208  ...separating North and South Vietnam.  ; xxx 
English-BattleFieldVN04-209  And there were the NLF regiments opposite Saigon.  ; xxx 
English-BattleFieldVN04-210  Communist forces could present the Americans with a challenge...  ; xxx 
English-BattleFieldVN04-211  ...in any of the three areas and force them to react.  ; xxx 
English-BattleFieldVN04-212  By the middle of 1966, North Vietnamese units crossing the Demilitarized Zone...  ; xxx 
English-BattleFieldVN04-213  ...had successfully drawn the US marines North.  ; xxx 
English-BattleFieldVN04-214  In the highlands the NVA 24th regiment...  ; xxx 
English-BattleFieldVN04-215  ...had engaged elements of the 101st Airborne Division.  ; xxx 
English-BattleFieldVN04-216  The 1st NVA division had pulled a U.S. Infantry brigade...  ; xxx 
English-BattleFieldVN04-217  ...and the 1st Air Cavalry towards the Cambodian border.  ; xxx 
English-BattleFieldVN04-218  The Americans in the Central Highlands did succeed...  ; xxx 
English-BattleFieldVN04-219  ...in inflicting thousands of casualties on the North Vietnamese Army.  ; xxx 
English-BattleFieldVN04-220  But in some of the most arduous fighting country in Vietnam...  ; xxx 
English-BattleFieldVN04-221  ...the Americans found it impossible to trap large enemy units.  ; xxx 
English-BattleFieldVN04-222  Time after time they succeeded in slipping through the net.  ; xxx 
English-BattleFieldVN04-223  Although the American Military were killing 5 North Vietnamese soldiers...  ; xxx 
English-BattleFieldVN04-224  ...for every one of their own losses,...  ; xxx 
English-BattleFieldVN04-225  ...Northern commanders were still confident.  ; xxx 
English-BattleFieldVN04-226  General Giap was sure that his forces could stay on the offensive...  ; xxx 
English-BattleFieldVN04-227  ...and take heavy casualties as long as there were no dramatic defeats.  ; xxx 
English-BattleFieldVN04-228  The manpower potential of North Vietnam had barely been tapped.  ; xxx 
English-BattleFieldVN04-229  AREA WAR  ; xxx 
English-BattleFieldVN04-230  From the start of its war in Vietnam...  ; xxx 
English-BattleFieldVN04-231  ...the U.S. Army had found the conflict to be unlike any other.  ; xxx 
English-BattleFieldVN04-232  As Vietcong attacks proved every day, there was no front line.  ; xxx 
English-BattleFieldVN04-233  Each side controlled only the territory...  ; xxx 
English-BattleFieldVN04-234  ...immediately around its positions or its bases.  ; xxx 
English-BattleFieldVN04-235  The Army was calling it Area War.  ; xxx 
English-BattleFieldVN04-236  Area War meant that the roads linking U.S. bases to other units...  ; xxx 
English-BattleFieldVN04-237  ...and to their supply depots were never completely secure.  ; xxx 
English-BattleFieldVN04-238  Vietcong strategy was to try and isolate American forces...  ; xxx 
English-BattleFieldVN04-239  ...and to pin down large numbers of U.S. troops on base and road defense.  ; xxx 
English-BattleFieldVN04-240  That way there would be fewer men available for offensive operations.  ; xxx 
English-BattleFieldVN04-241  The supply lifelines for the 25th and 1st U.S. Infantry Divisions...  ; xxx 
English-BattleFieldVN04-242  ...were the roads linking their major bases to Saigon,...  ; xxx 
English-BattleFieldVN04-243  ...Bien Hoa airbase,...  ; xxx 
English-BattleFieldVN04-244  ...and Long Binh, the biggest supply depot in Vietnam.  ; xxx 
English-BattleFieldVN04-245  The roads were constantly patrolled by armored vehicles and aircraft.  ; xxx 
English-BattleFieldVN04-246  In August 1966 the 25th Division was tasked with clearing the way...  ; xxx 
English-BattleFieldVN04-247  ...for a new American unit the 196th light infantry brigade.  ; xxx 
English-BattleFieldVN04-248  The 196th was to be based at Tay Ninh to secure route 22,...  ; xxx 
English-BattleFieldVN04-249  ...running through the NLF base area of Warzone C.  ; xxx 
English-BattleFieldVN04-250  By October 1966, the NLF 9th Division had almost recovered...  ; xxx 
English-BattleFieldVN04-251  ...from the battles of the previous July.  ; xxx 
English-BattleFieldVN04-252  Its losses in men and equipment had been replaced by supplies and reinforcements...  ; xxx 
English-BattleFieldVN04-253  ...sent down the Ho Chi Minh trail from Nort Vietnam.  ; xxx 
English-BattleFieldVN04-254  With the dry season coming the 9th was busy in Warzone C...  ; xxx 
English-BattleFieldVN04-255  ...preparing for its next offensive.  ; xxx 
English-BattleFieldVN04-256  The renewed activity of the 9th division...  ; xxx 
English-BattleFieldVN04-257  ...did not pass unnoticed by the Americans.  ; xxx 
English-BattleFieldVN04-258  Special Forces units mounted an intense reconaissance effort...  ; xxx 
English-BattleFieldVN04-259  ...deep inside Vietcong territory.  ; xxx 
English-BattleFieldVN04-260  The reports they brought back seemed to show...  ; xxx 
English-BattleFieldVN04-261  ...that the 9th's next target might be the Special Forces' own base camp,...  ; xxx 
English-BattleFieldVN04-262  ...Northeast of Tay Ninh city.  ; xxx 
English-BattleFieldVN04-263  American commanders were determined to disrupt the Vietcong's plans.  ; xxx 
English-BattleFieldVN04-264  The 196th Brigade was ordered to mount aggressive Search and Destroy sweeps...  ; xxx 
English-BattleFieldVN04-265  ...near the Special Forces' camp area.  ; xxx 
English-BattleFieldVN04-266  The sweeps starting on September 14th 1966...  ; xxx 
English-BattleFieldVN04-267  ...were codenamed Operation Attleboro.  ; xxx 
English-BattleFieldVN04-268  Operation Attleboro was launched by the 196th Light Infantry Brigade,...  ; xxx 
English-BattleFieldVN04-269  ...together with 22,000 South Vietnamese soldiers...  ; xxx 
English-BattleFieldVN04-270  ...and G.I.'s from the 1st 4th and 25th Infantry Divisions.  ; xxx 
English-BattleFieldVN04-271  Almost at once, huge supply caches belonging to the NLF's 9th Division...  ; xxx 
English-BattleFieldVN04-272  ...were found by the Americans south of the Michelin rubber plantation.  ; xxx 
English-BattleFieldVN04-273  It was believed the NLF were somewhere between the plantation...  ; xxx 
English-BattleFieldVN04-274  ...and the American Special Forces base at Suoi Da.  ; xxx 
English-BattleFieldVN04-275  While one battalion made a helicopter landing,...  ; xxx 
English-BattleFieldVN04-276  ...the other battalions pushed towards it on foot.  ; xxx 
English-BattleFieldVN04-277  When the Landing Zone was ambushed...  ; xxx 
English-BattleFieldVN04-278  ...both sides sent thousands of reinforcements rushing to the area.  ; xxx 
English-BattleFieldVN04-279  By the following day, full scale battles were raging.  ; xxx 
English-BattleFieldVN04-280  In the first days of Operation Attleboro...  ; xxx 
English-BattleFieldVN04-281  ...almost every fresh American unit sent in was ambushed.  ; xxx 
English-BattleFieldVN04-282  Nor were the Americans safe behind the defensive perimeters...  ; xxx 
English-BattleFieldVN04-283  ...of their night time camps.  ; xxx 
English-BattleFieldVN04-284  NLF units stroke with thousands of men at a time...  ; xxx 
English-BattleFieldVN04-285  ...and came close to wiping out whole American formations.  ; xxx 
English-BattleFieldVN04-286  It was intense air and artillery support that, in the end  ; xxx 
English-BattleFieldVN04-287  ...as in so many battles, saved the Americans from disaster.  ; xxx 
English-BattleFieldVN04-288  Even then, many of the NLF battalions were attacking out of bunkers,...  ; xxx 
English-BattleFieldVN04-289  ...trench lines and tunnels and were sometimes able...  ; xxx 
English-BattleFieldVN04-290  ...to withstand the most punishing bombardments.  ; xxx 
English-BattleFieldVN04-291  The inexperience of the 196th was also telling.  ; xxx 
English-BattleFieldVN04-292  Tactical coordination between the brigade's units was poor.  ; xxx 
English-BattleFieldVN04-293  Although the situation was desperate,...  ; xxx 
English-BattleFieldVN04-294  ...American commanders in Saigon also saw a major opportunity.  ; xxx 
English-BattleFieldVN04-295  Attleboro might be a chance to fight the kind big battle they had been looking for.  ; xxx 
English-BattleFieldVN04-296  The 1st Infantry Division raised two brigades to the area...  ; xxx 
English-BattleFieldVN04-297  ...and unit after unit was piled on.  ; xxx 
English-BattleFieldVN04-298  The 11th Armored Cavalry Regiment only just arrived in Vietnam,...  ; xxx 
English-BattleFieldVN04-299  ...was also thrown into the battle.  ; xxx 
English-BattleFieldVN04-300  Within days there were 22,000 American troops in the Attleboro area.  ; xxx 
English-BattleFieldVN04-301  The massive buildup of American forces was the NLF's cue to disengage.  ; xxx 
English-BattleFieldVN04-302  Although fierce firefights continued wherever the two sides came into contact,...  ; xxx 
English-BattleFieldVN04-303  ...the 9th division began to withdraw.  ; xxx 
English-BattleFieldVN04-304  Its big units broke down into smaller groups and slipped away...  ; xxx 
English-BattleFieldVN04-305  ...towards Cambodia where the Americans were forbidden to follow.  ; xxx 
English-BattleFieldVN04-306  In Operation Attleboro, the Americans had failed to destroy...  ; xxx 
English-BattleFieldVN04-307  ...the 9th division in an all out battle.  ; xxx 
English-BattleFieldVN04-308  On the other hand, in six weeks more than 1,000 NLF had been killed...  ; xxx 
English-BattleFieldVN04-309  ...for the loss of 155 American dead and fewer than 800 wounded.  ; xxx 
English-BattleFieldVN04-310  U.S. troops had captured a massive amount of enemy stores and documents...  ; xxx 
English-BattleFieldVN04-311  ...and Vietcong plans for the coming months had been badly disrupted.  ; xxx 
English-BattleFieldVN04-312  CEDAR FALLS  ; xxx 
English-BattleFieldVN04-313  By the end of 1966 American forces in Vietnam...  ; xxx 
English-BattleFieldVN04-314  ...had grown to 385,000 men,...  ; xxx 
English-BattleFieldVN04-315  ...plus another 60,000 sailors off Vietnam shores.  ; xxx 
English-BattleFieldVN04-316  As the force levels had risen so too had the casualties.  ; xxx 
English-BattleFieldVN04-317  The year had seen more than 6,000 Americans killed and 30,000 wounded.  ; xxx 
English-BattleFieldVN04-318  The biggest problem for American commanders was...  ; xxx 
English-BattleFieldVN04-319  ...that their time table was slipping badly.  ; xxx 
English-BattleFieldVN04-320  By now, the Vietcong should be losing men faster than they could be replaced.  ; xxx 
English-BattleFieldVN04-321  General Westmoreland had to concede that U.S. forces...  ; xxx 
English-BattleFieldVN04-322  ...had come nowhere near achieving that goal.  ; xxx 
English-BattleFieldVN04-323  An estimated 61,000 Vietcong had been killed in the past year...  ; xxx 
English-BattleFieldVN04-324  ...yet their troops had gone up to more than 280,000.  ; xxx 
English-BattleFieldVN04-325  Part of the problem was that the American bombing campaign...  ; xxx 
English-BattleFieldVN04-326  ...against North Vietnam  and its supply routes to the South were still failing.  ; xxx 
English-BattleFieldVN04-327  More men and materials were reaching the guerrillas than ever before.  ; xxx 
English-BattleFieldVN04-328  The Vietcong had also stepped up the recruiting.  ; xxx 
English-BattleFieldVN04-329  There was one cause for optimism on the American side:  ; xxx 
English-BattleFieldVN04-330  Operation Attleboro had seemed to show the Vietcong would fight...  ; xxx 
English-BattleFieldVN04-331  ...if their base areas were threatened.  ; xxx 
English-BattleFieldVN04-332  The latest plan was to go back into War Zone C...  ; xxx 
English-BattleFieldVN04-333  ...with even greater forces.  ; xxx 
English-BattleFieldVN04-334  But first, the Americans wanted to solve an immediate problem.  ; xxx 
English-BattleFieldVN04-335  The districts just in front of Saigon the Iron Triangle and Cu Chi,...  ; xxx 
English-BattleFieldVN04-336  ...were still major Vietcong strongholds.  ; xxx 
English-BattleFieldVN04-337  The American plan was to attack into the Iron Triangle...  ; xxx 
English-BattleFieldVN04-338  ...with more than two divisions.  ; xxx 
English-BattleFieldVN04-339  The guerrillas would be trapped in their own base areas and anihilated.  ; xxx 
English-BattleFieldVN04-340  At the same time another attempt would be made...  ; xxx 
English-BattleFieldVN04-341  ...to capture the Vietcong Saigon Military Headquarters.  ; xxx 
English-BattleFieldVN04-342  The whole area would then be systematically destroyed.  ; xxx 
English-BattleFieldVN04-343  Before the attack American aircraft dropped 20,000 leaflets...  ; xxx 
English-BattleFieldVN04-344  ...telling the population to leave at once.  ; xxx 
English-BattleFieldVN04-345  The Iron Triangle was an area of 60 square miles...  ; xxx 
English-BattleFieldVN04-346  ...lying between the Saigon river and route 13,...  ; xxx 
English-BattleFieldVN04-347  ...with the village of Ben Suc on its western side.  ; xxx 
English-BattleFieldVN04-348  A major Vietcong tunnel complex ran under the whole district.  ; xxx 
English-BattleFieldVN04-349  The 272th Regiment of the NLF was operating there...  ; xxx 
English-BattleFieldVN04-350  ...along with two battalions of NLF main force,...  ; xxx 
English-BattleFieldVN04-351  ...two independent NLF battalions and the Fil Hol battalion.  ; xxx 
English-BattleFieldVN04-352  But on the eve of the American offensive most troops were withdrawn.  ; xxx 
English-BattleFieldVN04-353  Only local NLF companies were left to defend important installations.  ; xxx 
English-BattleFieldVN04-354  The American plan for Operation Cedar Falls...  ; xxx 
English-BattleFieldVN04-355  ...was that the 25th Infantry Division and other units...  ; xxx 
English-BattleFieldVN04-356  ...would occupy blocking positions on the western side of the Saigon river...  ; xxx 
English-BattleFieldVN04-357  ...forming an anvil.  ; xxx 
English-BattleFieldVN04-358  The 1st Division and the 173rd airborne brigade would assault...  ; xxx 
English-BattleFieldVN04-359  ...from the North and the East,...  ; xxx 
English-BattleFieldVN04-360  ...with a battalion landing at the village of Ben Suc.  ; xxx 
English-BattleFieldVN04-361  Meanwhile, the 11th armored cavalry regiment would act as the hammer...  ; xxx 
English-BattleFieldVN04-362  ...smashing through the center of the triangle.  ; xxx 
English-BattleFieldVN04-363  Operation Cedar Falls opened with 4 days of attacks by B-52 bombers.  ; xxx 
English-BattleFieldVN04-364  Artillery and air strikes followed  ; xxx 
English-BattleFieldVN04-365  and a wall of fire was laid down to cut off the NLF's retreat.  ; xxx 
English-BattleFieldVN04-366  On January 8th 1967, 16,000 U.S. ...  ; xxx 
English-BattleFieldVN04-367  ...and 14,000 South Vietnamese Army troops...  ; xxx 
English-BattleFieldVN04-368  ...moved out of their bases in fleets of helicopters...  ; xxx 
English-BattleFieldVN04-369  ...armored personnel carriers, trucks and boats.  ; xxx 
English-BattleFieldVN04-370  In the first hours of Operation Cedar Falls...  ; xxx 
English-BattleFieldVN04-371  ...the village of Ben Suc had been captured with barely a shot fired.  ; xxx 
English-BattleFieldVN04-372  The local company of 100 NLF fighters...  ; xxx 
English-BattleFieldVN04-373  ...had been taken completely by surprise.  ; xxx 
English-BattleFieldVN04-374  As the Village's 6,000 inhabitants were rounded out for interrogation...  ; xxx 
English-BattleFieldVN04-375  ...bulldozers began to level every building in sight.  ; xxx 
English-BattleFieldVN04-376  The American Operation to smash the Iron Triangle...  ; xxx 
English-BattleFieldVN04-377  ...lasted 19 days with only local Vietcong left to defend the area...  ; xxx 
English-BattleFieldVN04-378  ...and most of those hidden in tunnels there was almost no heavy fighting.  ; xxx 
English-BattleFieldVN04-379  American losses were 72 killed and 337 wounded...  ; xxx 
English-BattleFieldVN04-380  ...mostly to snipers and booby traps.  ; xxx 
English-BattleFieldVN04-381  In Ben Suc and in the Thanh Dien forest...  ; xxx 
English-BattleFieldVN04-382  ...the Americans uncovered dozens of tunnel entrances.  ; xxx 
English-BattleFieldVN04-383  By now, they were better prepared.  ; xxx 
English-BattleFieldVN04-384  Specialists known as 'tunnel rats' had trained...  ; xxx 
English-BattleFieldVN04-385  ...to go down tunnels and explore.  ; xxx 
English-BattleFieldVN04-386  In the crammed spaces underground...  ; xxx 
English-BattleFieldVN04-387  ...they faced gunfire, booby traps, and mines.  ; xxx 
English-BattleFieldVN04-388  The problem was there were only a handful of tunnel rats...  ; xxx 
English-BattleFieldVN04-389  ... and the complexes were enormous.  ; xxx 
English-BattleFieldVN04-390  Whenever tunnels were found,...  ; xxx 
English-BattleFieldVN04-391  ...the Americans made determined efforts to destroy them.  ; xxx 
English-BattleFieldVN04-392  Demolition charges, explosive gas, and flooding were all tried.  ; xxx 
English-BattleFieldVN04-393  Riot control agents were pumped in...  ; xxx 
English-BattleFieldVN04-394  ...to try and force the Vietcong to come out.  ; xxx 
English-BattleFieldVN04-395  Nothing really worked. The tunnels were designed...  ; xxx 
English-BattleFieldVN04-396  ...so that neither gas nor water could penetrate far.  ; xxx 
English-BattleFieldVN04-397  The Americans had discovered only a small number...  ; xxx 
English-BattleFieldVN04-398  ...of the Vietcong installations hidden in the Iron Triangle.  ; xxx 
English-BattleFieldVN04-399  But those they did find yielded astonishing quantities of material.  ; xxx 
English-BattleFieldVN04-400  There was enough rice to feed 13,000 guerrillas for a year,...  ; xxx 
English-BattleFieldVN04-401  ...along with over 7,000 uniforms,...  ; xxx 
English-BattleFieldVN04-402  ...a huge underground hospital...  ; xxx 
English-BattleFieldVN04-403  ...and over a ton of medicine.  ; xxx 
English-BattleFieldVN04-404  Half a million documents were discovered,...  ; xxx 
English-BattleFieldVN04-405  ...including detailed maps of airbases,...  ; xxx 
English-BattleFieldVN04-406  ...and the private addresses of Americans in Saigon.  ; xxx 
English-BattleFieldVN04-407  Some U.S. commanders immediately hailed Cedar Falls as a major success.  ; xxx 
English-BattleFieldVN04-408  Westmoreland was much more cautious.  ; xxx 
English-BattleFieldVN04-409  The main NLF headquarters had not been found,...  ; xxx 
English-BattleFieldVN04-410  neither had any sizable enemy unit been brought to battle and destroyed.  ; xxx 
English-BattleFieldVN04-411  In the end 720 Vietcong had been killed for the loss of 72 Americans.  ; xxx 
English-BattleFieldVN04-412  One aim of Operation Cedar Falls was achieved:  ; xxx 
English-BattleFieldVN04-413  The Iron Triangle was completely and utterly destroyed.  ; xxx 
English-BattleFieldVN04-414  After its inhabitants were moved out to refugee camps...  ; xxx 
English-BattleFieldVN04-415  ...the district was turned into an uninhabitable wasteland.  ; xxx 
English-BattleFieldVN04-416  Huge Rome plows cut 20 foot wide avenues criss crossing the forest...  ; xxx 
English-BattleFieldVN04-417  ...to make any movement instantly visible from the air.  ; xxx 
English-BattleFieldVN04-418  These massive machines could plough the tallest trees into the ground.  ; xxx 
English-BattleFieldVN04-419  60 square miles of forest near Saigon...  ; xxx 
English-BattleFieldVN04-420  ...were ploughed under in the Iron Triangle.  ; xxx 
English-BattleFieldVN04-421  Afterwards, Operation Ranch Hand aircraft spread lethal defoliants...  ; xxx 
English-BattleFieldVN04-422  ...to destroy the jungle cover and make it impossible to grow crops.  ; xxx 
English-BattleFieldVN04-423  After the Americans had pulled out...  ; xxx 
English-BattleFieldVN04-424  ...almost the whole of the Iron Triangle was designated a free fire zone.  ; xxx 
English-BattleFieldVN04-425  Artillery and bombs could be rained down at will...  ; xxx 
English-BattleFieldVN04-426  ...and anyone that moved could be attacked from the air.  ; xxx 
English-BattleFieldVN04-427  Yet to the astonishment of the Americans within weeks of Operation Cedar Falls,...  ; xxx 
English-BattleFieldVN04-428  ...the Vietcong were active again in the Iron Triangle.  ; xxx 
English-BattleFieldVN04-429  JUNCTION CITY  ; xxx 
English-BattleFieldVN04-430  By mid February 1967 American commanders had again...  ; xxx 
English-BattleFieldVN04-431  ...turned their attention to War Zone C and the NLF's 9th division.  ; xxx 
English-BattleFieldVN04-432  The new offensive was codenamed “Junction City”.  ; xxx 
English-BattleFieldVN04-433  Westmoreland had ordered his commanders to think big, and they had planned...  ; xxx 
English-BattleFieldVN04-434  ...the most ambitious Search and Destroy operation of the war so far.  ; xxx 
English-BattleFieldVN04-435  30,000 American troops would take part...  ; xxx 
English-BattleFieldVN04-436  ...together with 5,000 men from the South Vietnamese Army.  ; xxx 
English-BattleFieldVN04-437  The main targets of Operation Junction City were the Vietcong's biggest base areas...  ; xxx 
English-BattleFieldVN04-438  ...and their main military headquarters for South Vietnam.  ; xxx 
English-BattleFieldVN04-439  This was known as the 'Central Office for South Vietnam' or COSVN.  ; xxx 
English-BattleFieldVN04-440  However COSVN never existed as a place.  ; xxx 
English-BattleFieldVN04-441  In reality, the military and political leadership...  ; xxx 
English-BattleFieldVN04-442  ...of the Vietcong were always mobile.  ; xxx 
English-BattleFieldVN04-443  The Vietcong base areas of War zone C held...  ; xxx 
English-BattleFieldVN04-444  ...the 9th Division's three regiments,...  ; xxx 
English-BattleFieldVN04-445  ...a regiment of the NLF's new 5th Division,...  ; xxx 
English-BattleFieldVN04-446  ...and 2 North Vietnamese Army regiments.  ; xxx 
English-BattleFieldVN04-447  Altogether more than 10,000 troops.  ; xxx 
English-BattleFieldVN04-448  There were also thousands more...  ; xxx 
English-BattleFieldVN04-449  ...local Vietcong scattered throughout the region.  ; xxx 
English-BattleFieldVN04-450  Operation Junction City called for two American brigades to block...  ; xxx 
English-BattleFieldVN04-451  ...the Vietcong's escape to the West over the Cambodian border.  ; xxx 
English-BattleFieldVN04-452  Two more would block to the East.  ; xxx 
English-BattleFieldVN04-453  Infantry and Airborne forces would close off the North...  ; xxx 
English-BattleFieldVN04-454  ...by helicopter and parachute landing, forming a giant horseshoe.  ; xxx 
English-BattleFieldVN04-455  Armored Cavalry and infantry brigades would then sweep northwards...  ; xxx 
English-BattleFieldVN04-456  ...overrunning all enemy units in their path.  ; xxx 
English-BattleFieldVN04-457  In the second phase of Junction City a series of Special Forces camps...  ; xxx 
English-BattleFieldVN04-458  ...would be built, along with a bridge over the Saigon river  ; xxx 
English-BattleFieldVN04-459  ...and operations would shift to the East.  ; xxx 
English-BattleFieldVN04-460  By February 21st 1967 the Americans were ready to launch Junction City.  ; xxx 
English-BattleFieldVN04-461  The blocking forces to the West and the East were in place.  ; xxx 
English-BattleFieldVN04-462  All that remained was to insert the Northern force.  ; xxx 
English-BattleFieldVN04-463  In one of the largest air mobile assaults ever,...  ; xxx 
English-BattleFieldVN04-464  ...240 helicopters swept over Tay Ninh province.  ; xxx 
English-BattleFieldVN04-465  Fighter bombers and gunship helicopters hammered the landing zones.  ; xxx 
English-BattleFieldVN04-466  Within hours, 2,000 troops were deep inside Vietcong territory.  ; xxx 
English-BattleFieldVN04-467  At the same time, in the first parachute drop of the Vietnam War...  ; xxx 
English-BattleFieldVN04-468  nearly 800 men of the 173rd airborne completed the American horseshoe.  ; xxx 
English-BattleFieldVN04-469  The day after the massed air mobile landings  ; xxx 
English-BattleFieldVN04-470  Infantry and mechanized units began pushing North into the horseshoe.  ; xxx 
English-BattleFieldVN04-471  The terrain was dense forest.  ; xxx 
English-BattleFieldVN04-472  The whole area was riddled with Vietcong fortifications,...  ; xxx 
English-BattleFieldVN04-473  ...tunnels and bunkers.  ; xxx 
English-BattleFieldVN04-474  Although there were scattered firefights, the Americans...  ; xxx 
English-BattleFieldVN04-475  ...lost men to snipers and booby traps.  ; xxx 
English-BattleFieldVN04-476  There were few big actions.  ; xxx 
English-BattleFieldVN04-477  Often guerrilla installations were found abandoned.  ; xxx 
English-BattleFieldVN04-478  The battles that did happen were started by the Vietcong.  ; xxx 
English-BattleFieldVN04-479  Powerful units twice attacked...  ; xxx 
English-BattleFieldVN04-480  ...elements of the 1st infantry division at Prek Klok.  ; xxx 
English-BattleFieldVN04-481  Furious American bombing and artillery fire drove off the assaults.  ; xxx 
English-BattleFieldVN04-482  Because the Vietcong had begun the battles, they were also able...  ; xxx 
English-BattleFieldVN04-483  ...to break off the fight whenever they chose.  ; xxx 
English-BattleFieldVN04-484  Nor were the American blocking forces able...  ; xxx 
English-BattleFieldVN04-485  ...to trap them and make them fight.  ; xxx 
English-BattleFieldVN04-486  The dense vegetation meant the guerrilla battalions could break down...  ; xxx 
English-BattleFieldVN04-487  ...into platoons and filter through American lines.  ; xxx 
English-BattleFieldVN04-488  By now, the Vietcong military leadership the Americans were searching for...  ; xxx 
English-BattleFieldVN04-489  ...had also slipped away across the border into neutral Cambodia.  ; xxx 
English-BattleFieldVN04-490  The second phase of Operation Junction City centered around...  ; xxx 
English-BattleFieldVN04-491  ...the building of the Saigon River bridge...  ; xxx 
English-BattleFieldVN04-492  ... and the Special Forces camp at An Loc.  ; xxx 
English-BattleFieldVN04-493  Convoys of trucks shuttled up and down route 13 with building materials.  ; xxx 
English-BattleFieldVN04-494  For defense, artillery fire bases including fire support base 20...  ; xxx 
English-BattleFieldVN04-495  ...were scattered along the road.  ; xxx 
English-BattleFieldVN04-496  Fire Base Gold and Landing Zone George were created...  ; xxx 
English-BattleFieldVN04-497  ...for Search and Destroy sweeps.  ; xxx 
English-BattleFieldVN04-498  Starting on the night of March 18th 1967, each of the three regiments...  ; xxx 
English-BattleFieldVN04-499  ...of the NLF's 9th Division attacked in full strength, 1,000 men at a time.  ; xxx 
English-BattleFieldVN04-500  Each attack was driven off by overwhelming...  ; xxx 
English-BattleFieldVN04-501  ...American air and artillery fire.  ; xxx 
English-BattleFieldVN04-502  Vietcong losses were heavy, but the regiments...  ; xxx 
English-BattleFieldVN04-503  ...escaped complete destruction.  ; xxx 
English-BattleFieldVN04-504  Operation Junction City lasted 72 days.  ; xxx 
English-BattleFieldVN04-505  By its end in May 1967, this operation coupled with the Cedar Falls offensive,...  ; xxx 
English-BattleFieldVN04-506  ...had cost 282 American lives, and 1,500 wounded.  ; xxx 
English-BattleFieldVN04-507  Nearly 3,000 Vietcong had been killed.  ; xxx 
