Tiếng Anh Lớp 3(Tập 2) :: Welcome to Toomva.com::Chào _ ừng đến _ ới Toomva.com ; Chào mừng đến với Toomva.com
Tiếng Anh Lớp 3(Tập 2) :: No, it's on Tuesday - That's right Mai, It's on Tuesday::_ hông, nó vào Thứ 3 - Đún_  r_ i, Mai, l_  vào Th_  3 ; Không, nó vào Thứ 3 - Đúng rồi, Mai, là vào Thứ 3
Tiếng Anh Lớp 3(Tập 2) :: Page 18: Activity 2: Point and say::Trang 18: _ _ ạt động 2: _ hỉ và nói ; Trang 18: Hoạt động 2: Chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: What day is it today? - It's Monday::_ ô_  n_ y là thứ mấy? - _ hứ 2 ; Hôm nay là thứ mấy? - Thứ 2
Tiếng Anh Lớp 3(Tập 2) :: A. Monday B. Tuesday C. Wednesday::A.Thứ 2 B.Th_  3 C.T_ ứ 4 ; A.Thứ 2 B.Thứ 3 C.Thứ 4
Tiếng Anh Lớp 3(Tập 2) :: D. Thursday E. Friday F. Saturday G. Sunday::D.T_ ứ 5 _ .Thứ 6 F.T_ ứ 7 G._ hủ nhật ; D.Thứ 5 E.Thứ 6 F.Thứ 7 G.Chủ nhật
Tiếng Anh Lớp 3(Tập 2) :: Page 19: activity 3: Listen and tick::_ rang 19: Hoạt động 3: N_ he và tích ; Trang 19: Hoạt động 3: Nghe và tích
Tiếng Anh Lớp 3(Tập 2) :: 1.Hello class - Hello Mr Luck::1. Chào c_  _ ớp - _ h_ o t_ ầy _ _ ck ; 1. Chào cả lớp - Chào thầy Luck
Tiếng Anh Lớp 3(Tập 2) :: What day is it today class? - It's Tuesday - Very good, time for English::Hôm nay _ à t_ _  mấy, cả lớp? - _ à _ hứ 3 - Rất t_ t, đế_  g_ ờ _ ọc Tiếng an_  rồi ; Hôm nay là thứ mấy, cả lớp? - là Thứ 3 - Rất tốt, đến giờ học Tiếng anh rồi
Tiếng Anh Lớp 3(Tập 2) :: 2. What day is it today, Nam? It's Tuesday::2. Hôm na_  là thứ mấy, _ am? _ hứ 3 ạ ; 2. Hôm nay là thứ mấy, Nam? Thứ 3 ạ
Tiếng Anh Lớp 3(Tập 2) :: So, we have English today right? - Yes, that's right::_ ậ_ , hôm n_ y t_  có _ iết Ti_ ng _ nh _ h_ _  _ _ ứ? - Vâng, _ úng rồi _  ; Vậy, hôm nay ta có tiết Tiếng anh phải chứ? - Vâng, đúng rồi ạ
Tiếng Anh Lớp 3(Tập 2) :: 3. It's Tuesday, we have English today - No, it isn't Tuesday::3. Hôm na_  là Thứ 3, ch_ ng _ _  có _ iế_ g Anh - Khôn_ , _ ôm nay khô_ _  phải _ hứ 3 ; 3. Hôm nay là Thứ 3, chúng ta có Tiếng Anh - Không, hôm nay không phải Thứ 3
Tiếng Anh Lớp 3(Tập 2) :: it's Wednesday, we don't have English today - Oh, you're right!::l_  Thứ 4, ta _ hôn_  có Tiến_  An_  _ ôm _ ay - ồ, bạn nói đú_ _  ; là Thứ 4, ta không có Tiếng Anh hôm nay - ồ, bạn nói đúng
Tiếng Anh Lớp 3(Tập 2) :: Page 19: Activity 5: Let's sing: We have English today::_ rang 19: H_ ạt độ_ g 5: Cùng hát n_ o: Ch_ ng ta có môn _ i_ ng anh h_ m _ a_  ; Trang 19: Hoạt động 5: Cùng hát nào: Chúng ta có môn Tiếng anh hôm nay
Tiếng Anh Lớp 3(Tập 2) :: What day is it today? - It's Monday, we have English today::Hôm na_  là thứ mấ_ ? - l_  T_ ứ 2, hôm _ ay chúng ta c_  môn Ti_ n_  A_ h ; Hôm nay là thứ mấy? - là Thứ 2, hôm nay chúng ta có môn Tiếng Anh
Tiếng Anh Lớp 3(Tập 2) :: Do we have English on Wednesday? - No, we have English on Tuesday, thursday, and friday::Thứ 4 c_  môn Ti_ ng Anh khô_ g? - Không, _ a có _ _ ếng a_ h _ à_  th_  3, _ hứ 5 và thứ 6 ; Thứ 4 có môn Tiếng Anh không? - Không, ta có Tiếng anh vào thứ 3, thứ 5 và thứ 6
Tiếng Anh Lớp 3(Tập 2) :: What day is it today? - It's Wednesday, we have English today::Hôm nay là n_ ày gì? - Là thứ 4, h_ _  _ ay chú_ g ta có mô_  Tiến_  a_ h ; Hôm nay là ngày gì? - Là thứ 4, hôm nay chúng ta có môn Tiếng anh
Tiếng Anh Lớp 3(Tập 2) :: Do we have English on Thursday? - No, we have English on Monday, Wednesday, and friday::Chún_  ta có m_ _  _ iếng _ nh vào thứ 5 khô_ g? - _ h_ ng, c_ úng t_  có _ iế_ g anh _ ào thứ 2, thứ 4 và thứ 6 ; Chúng ta có môn Tiếng anh vào thứ 5 không? - Không, chúng ta có tiếng anh vào thứ 2, thứ 4 và thứ 6
Tiếng Anh Lớp 3(Tập 2) :: Page 20: Lesson 2: Activity 1: Look, listen and repeat::Tr_ _ g 19: Bài 2: H_ ạt độn_  1: Nh_ n, Nghe và _ hắc l_ i ; Trang 19: Bài 2: Hoạt động 1: Nhìn, Nghe và Nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: A. What do you do on Friday Nam? - I go to school in the morning::A. Cậ_  là_  gì vào thứ 6, Nam? - T_  _ ế_  _ rường vào buổ_  sáng ; A. Cậu làm gì vào thứ 6, Nam? - Tớ đến trường vào buổi sáng
Tiếng Anh Lớp 3(Tập 2) :: B. How about in the afternoon - I help my parents at home::B. Cò_  buổi chiều? - Tớ ở nhà gi_ _  cha mẹ ; B. Còn buổi chiều? - Tớ ở nhà giúp cha mẹ
Tiếng Anh Lớp 3(Tập 2) :: C. What do you do on Saturday? - I visit my grandparents in the morning::C. C_ _  l_ _  gì _ ào thứ 7 - T_  đi thă_  ô_ g bà và_  buổi sáng ; C. Cậu làm gì vào thứ 7 - Tớ đi thăm ông bà vào buổi sáng
Tiếng Anh Lớp 3(Tập 2) :: D. And in the afternoon? - I play football::D. _ ò_  buổi chi_ u? - T_  c_ ơi bóng đá ; D. Còn buổi chiều? - Tớ chơi bóng đá
Tiếng Anh Lớp 3(Tập 2) :: Page 20: Activity 2: Point and say::_ rang 20: H_ ạt đ_ ng 2: Chỉ và nói ; Trang 20: Hoạt động 2: Chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: What do you do on Monday? - I go to school in the morning::C_ u làm _ ì vào th_  2? - _ _  đến _ r_ ờng _ _ o buổi s_ ng ; Cậu làm gì vào thứ 2? - Tớ đến trường vào buổi sáng
Tiếng Anh Lớp 3(Tập 2) :: And in the afternoon? - I listen to music::Cò_  vào b_ ổi chiều? - _ _  _ ghe nhạc ; Còn vào buổi chiều? - Tớ nghe nhạc
Tiếng Anh Lớp 3(Tập 2) :: Page 21: Activity 4: Listen and number::Tra_ g 21: Hoạt động 4: Nghe _ à đá_ h s_  ; Trang 21: Hoạt động 4: Nghe và đánh số
Tiếng Anh Lớp 3(Tập 2) :: 1. Do you visit your grandparents on Saturday? - No i don't::1. Cậ_  có _ i t_ ăm _ ng bà vào thứ 7 không? - Khô_ _  ; 1. Cậu có đi thăm ông bà vào thứ 7 không? - Không
Tiếng Anh Lớp 3(Tập 2) :: What do you do? - I go to the zoo::Vậy _ _ u làm gì? - _ ớ đi sở thú ; Vậy cậu làm gì? - Tớ đi sở thú
Tiếng Anh Lớp 3(Tập 2) :: 2. Do you go swimming on Sunday? - No i don't::2. _ ậu c_  đ_  bơ_  _ ào Chủ nhậ_  không? - Khô_ g ; 2. Cậu có đi bơi vào Chủ nhật không? - Không
Tiếng Anh Lớp 3(Tập 2) :: When do you go swimming? - On friday afternoons::Kh_  nào _ hì c_ _  đ_  bơi? - Và_  c_ iều thứ 6 ; Khi nào thì cậu đi bơi? - Vào chiều thứ 6
Tiếng Anh Lớp 3(Tập 2) :: 3. Do you go to school on Saturday? - No I don't, I go to school from Monday to Friday::3. C_ u c_  đi học vào th_  7 khô_ g? - Không, tớ đi _ _ c từ thứ 2 đến _ _ ứ 6 th_ _  ; 3. Cậu có đi học vào thứ 7 không? - Không, tớ đi học từ thứ 2 đến thứ 6 thôi
Tiếng Anh Lớp 3(Tập 2) :: 4. What do you do on Tuesday's afternoon - I stay at home, I play the guitar::4. Cậu làm gì _ ào chiề_  _ _ ứ 3 - Tớ ở nhà, ch_ i đàn ; 4. Cậu làm gì vào chiều thứ 3 - Tớ ở nhà, chơi đàn
Tiếng Anh Lớp 3(Tập 2) :: Page 22: Lesson 3: Activity 1: Listen and repeat::_ rang 22: Bà_  3: Hoạt độ_ g 1: _ gh_  và nhắ_  lại ; Trang 22: Bài 3: Hoạt động 1: Nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: Ir - First My birthday is on the 1st of July::ir - firs_  _ _ nh _ _ _ t tô_  là vào n_ à_  1 t_ áng 7 ; ir - first sinh nhật tôi là vào ngày 1 tháng 7
Tiếng Anh Lớp 3(Tập 2) :: Ur - Thursday I have English on Thursday::_ r- Thursda_  _ _ i có m_ _  _ iếng anh _ ào thứ 5 ; Ur- Thursday Tôi có môn tiếng anh vào thứ 5
Tiếng Anh Lớp 3(Tập 2) :: Er - Her Mr Luck is her English teacher::Er - H_ r Thầy Luck l_  giáo _ iên T_ ếng anh của _ _ u ấy ; Er - Her Thầy Luck là giáo viên Tiếng anh của cậu ấy
Tiếng Anh Lớp 3(Tập 2) :: Page 22: Activity 2 : Listen and circle then say aloud::Tr_ ng 22: Hoạt động 2: Nghe v_  _ hoanh tròn rồ_  _ _ c t_  ; Trang 22: Hoạt động 2: Nghe và khoanh tròn rồi đọc to
Tiếng Anh Lớp 3(Tập 2) :: 1. My birthday is on the 1st of July::1. Sinh nhật tôi là và_  _ _ ày 1 tháng 7 ; 1. Sinh nhật tôi là vào ngày 1 tháng 7
Tiếng Anh Lớp 3(Tập 2) :: 2. We have English on Wednesday and Thursday::2. Chúng ta có _ ô_  T_ _ ng anh và_  t_ ứ 4 và thứ 5 ; 2. Chúng ta có môn Tiếng anh vào thứ 4 và thứ 5
Tiếng Anh Lớp 3(Tập 2) :: 3. This is her class::3. Đâ_  _ à _ _ _  của _ ô ấ_  ; 3. Đây là lớp của cô ấy
Tiếng Anh Lớp 3(Tập 2) :: Page 22: Activity 3 : Let's chant, what do you do on::Tr_ ng 22: H_ ạt đ_ _ _  3: Cùng _ _ c to: Bạ_  _ àm gì vào ; Trang 22: Hoạt động 3: Cùng đọc to: Bạn làm gì vào
Tiếng Anh Lớp 3(Tập 2) :: One, two, three, four, what day is it today? - It's Friday::Một, hai, ba, _ ố_ , _ ôm _ ay _ à _ gà_  _ ì nào? - _ à thứ 6 ; Một, hai, ba, bốn, hôm nay là ngày gì nào? - Là thứ 6
Tiếng Anh Lớp 3(Tập 2) :: What do you do on Friday? - I go to school in the morning::_ ạn _ àm gì _ ào thứ_  6? - _ ôi tớ_  trường vào buổ_  _ áng ; Bạn làm gì vào thứu 6? - Tôi tới trường vào buổi sáng
Tiếng Anh Lớp 3(Tập 2) :: How about in the afternoon? - I go swimming::Còn buổi chi_ u _ _ ì sao? - Tôi đi b_ _  ; Còn buổi chiều thì sao? - Tôi đi bơi
Tiếng Anh Lớp 3(Tập 2) :: What day is it tomorrow? - It's Saturday::N_ ày mai là n_ ày gì? - Là thứ 7 ; Ngày mai là ngày gì? - Là thứ 7
Tiếng Anh Lớp 3(Tập 2) :: Do you go to school on Saturday? - No i don't::_ ạ_  c_  tới trườ_ _  vào thứ 7 không? - Không ; Bạn có tới trường vào thứ 7 không? - Không
Tiếng Anh Lớp 3(Tập 2) :: What do you do on Saturday? - I go to the zoo in the morning::_ ạn _ àm _ ì vào _ hứ 7? - _ _ _  tới sở thú vào _ uổ_  _ án_  ; Bạn làm gì vào thứ 7? - Tôi tới sở thú vào buổi sáng
Tiếng Anh Lớp 3(Tập 2) :: I help my parents in the afternoon::B_ ổ_  _ hiều _ ô_  phụ giú_  cha mẹ ; Buổi chiều tôi phụ giúp cha mẹ
Tiếng Anh Lớp 3(Tập 2) :: Page 24: Unit 4: When's your birthday?::Trang 24: _ ài 4: Bao giờ là sinh nhật bạ_ ? ; Trang 24: Bài 4: Bao giờ là sinh nhật bạn?
Tiếng Anh Lớp 3(Tập 2) :: Lesson 1: Activity 1: Look, listen and repeat::B_ i 1: Ho_ t _ ộng 1: _ h_ n, n_ he _ à đ_ c _ ại ; Bài 1: Hoạt động 1: Nhìn, nghe và đọc lại
Tiếng Anh Lớp 3(Tập 2) :: A. Good morning class! - Good morning miss Hien::A. Ch_ o b_ ổi sáng _ ả lớp! - _ _ ào bu_ i _ áng cô Hien ; A. Chào buổi sáng cả lớp! - Chào buổi sáng cô Hien
Tiếng Anh Lớp 3(Tập 2) :: B. How are you? - We're fine thank you::B. C_ c _ m thế nào? -Ch_ ng e_  v_ n khỏe _ ảm ơ_  c_  ; B. Các em thế nào? -Chúng em vẫn khỏe cảm ơn cô
Tiếng Anh Lớp 3(Tập 2) :: C. What is the date today, Nam? - It's the first of October::C. H_ _  nay là n_ _ y ba_  _ h_ êu _ _ ế _ am? - Là ng_ _  1 tháng 10 ạ ; C. Hôm nay là ngày bao nhiêu thế Nam? - Là ngày 1 tháng 10 ạ
Tiếng Anh Lớp 3(Tập 2) :: D. No it isn't, It's the second of October - Oh, sorry::D. Không p_ ải, là _ _ ày 2 tháng 10 chứ - Ồ, xin lỗi ; D. Không phải, là ngày 2 tháng 10 chứ - Ồ, xin lỗi
Tiếng Anh Lớp 3(Tập 2) :: Page 24: Activity 2 : Point and say::Trang 24: Hoạ_  động 2: C_ _  và nó_  ; Trang 24: Hoạt động 2: Chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: What's the date today? - It's the first of October::Hô_  nay l_  ngày _ ì? - N_ ày 1 th_ ng 10 ; Hôm nay là ngày gì? - Ngày 1 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: A. the 1st of October::A. N_ ày 1 tháng 10 ; A. Ngày 1 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: B. The 2nd of October::B. _ gày 2 tháng 10 ; B. Ngày 2 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: C. The 3rd of October::_ . _ gày 3 tháng 10 ; C. Ngày 3 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: D. the 14th of October::D. _ gày 4 t_ áng 10 ; D. Ngày 4 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: E. The 22nd of October::E. Ngày 22 thá_ g 10 ; E. Ngày 22 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: F. The 31st of October::_ . Ngà_  31 th_ ng 10 ; F. Ngày 31 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: Page 25: Activity 3 : Listen and tick::Tr_ n_  25: Hoạt động 3: Nghe v_  tích ; Trang 25: Hoạt động 3: Nghe và tích
Tiếng Anh Lớp 3(Tập 2) :: 1. Good morning children! - Good morning miss Hien::1. Ch_ o buổ_  sáng các em! - Chào buổi _ _ ng _ _  _ iề_  ; 1. Chào buổi sáng các em! - Chào buổi sáng cô Hiền
Tiếng Anh Lớp 3(Tập 2) :: What's the date today? - It's the 3rd of October - Thank you::Hôm nay là ngày _ ao nhiêu? - _ à ngày 3 _ háng 10 - Cảm _ n em ; Hôm nay là ngày bao nhiêu? - Là ngày 3 tháng 10 - Cảm ơn em
Tiếng Anh Lớp 3(Tập 2) :: 2. Is it the 14th of October today? - No, it's the 15th of October today -::2. Hôm nay có phải là n_ à_  14 tháng 10 khôn_ ? - _ h_ ng, hôm nay là ngày 15 th_ ng 10 ; 2. Hôm nay có phải là ngày 14 tháng 10 không? - Không, hôm nay là ngày 15 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: Thank you Nam -That's alright::Cảm ơn N_ m - Khô_ g có gì ; Cảm ơn Nam - Không có gì
Tiếng Anh Lớp 3(Tập 2) :: 3. What's the date today, Tom? - The 20th of October::3. Hôm nay l_  ng_ y bao _ hi_ _ , To_ ? - Ngày 20 tháng 10 ; 3. Hôm nay là ngày bao nhiêu, Tom? - Ngày 20 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: Sorry? - It's the 20th of October - Thanks::Xin l_ i? - _ gày 20 tháng 10 - _ ảm _ n ; Xin lỗi? - Ngày 20 tháng 10 - Cảm ơn
Tiếng Anh Lớp 3(Tập 2) :: Page 25: Activity 5 : Let's sing: What's the date today::Tran_  25: Hoạt _ _ n_  5: Hôm nay là ngày g_  ; Trang 25: Hoạt động 5: Hôm nay là ngày gì
Tiếng Anh Lớp 3(Tập 2) :: What's the date today? - It's the 1st of October::Hô_  nay là ngày _ ì? - L_  ngày 1 th_ ng 10 ; Hôm nay là ngày gì? - Là ngày 1 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: What's the date today? Is it the 1st or is it the 3rd?::Hôm nay _ à ngày gì? _ _ _ _  mùng 1 hay _ gày mùng 3? ; Hôm nay là ngày gì? Ngày mùng 1 hay ngày mùng 3?
Tiếng Anh Lớp 3(Tập 2) :: What's the date today? - It isn't the 1st, it isn't the 3rd, it's the 2nd of October::_ ôm nay là ng_ y gì? - Kh_ ng phải mùng 1, c_ ng không _ hả_  mùng 3, l_  m_ n_  2 t_ áng 10 ; Hôm nay là ngày gì? - Không phải mùng 1, cũng không phải mùng 3, là mùng 2 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: Page 26: Lesson 2: Activity 1: Look, listen and repeat::_ rang 26: B_ _  2: _ oạt _ ộng 1: N_ ìn, n_ _ e và nhắc l_ _  ; Trang 26: Bài 2: Hoạt động 1: Nhìn, nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: A. Oh, what's a nice cake! -Yes it's my birthday today::_ . Ồ, thật là một _ hiếc bá_ h tuyệt đẹp! - _ , _ ôm nay _ à sinh nhậ_  tôi ; A. Ồ, thật là một chiếc bánh tuyệt đẹp! - Ừ, hôm nay là sinh nhật tôi
Tiếng Anh Lớp 3(Tập 2) :: B. Happy birthday Linda! - Thank you::B. Chúc mừ_ g _ in_  nhật L_ nda! - Cảm ơn ; B. Chúc mừng sinh nhật Linda! - Cảm ơn
Tiếng Anh Lớp 3(Tập 2) :: C. When's your birthday Mai? - It's on the 5th of March::C. _ hi nà_  là s_ n_  nhật bạn, _ ai? - Ngày 5 thá_ g 3 _ _  ; C. Khi nào là sinh nhật bạn, Mai? - Ngày 5 tháng 3 cơ
Tiếng Anh Lớp 3(Tập 2) :: Page 26: Activity 2: Point and say::Tr_ ng 26: Ho_ t động 2: C_ ỉ và _ ói ; Trang 26: Hoạt động 2: Chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: When's your birthday? - It's on the 1st of January::_ hi nào là _ inh nhật bạn? - Nó là vào _ gày 1 _ háng 1 ; khi nào là sinh nhật bạn? - Nó là vào ngày 1 tháng 1
Tiếng Anh Lớp 3(Tập 2) :: Page 27: Activity 4: Listen and number::Trang 27: Hoạt đ_ _ g 4: N_ h_  và _ _ _ h số ; Trang 27: Hoạt động 4: Nghe và đánh số
Tiếng Anh Lớp 3(Tập 2) :: 1. Today's my birthday - Happy birthday!::1. H_ m nay là s_ _ h nhật tô_ - C_ úc m_ ng _ inh n_ ật! ; 1. Hôm nay là sinh nhật tôi- Chúc mừng sinh nhật!
Tiếng Anh Lớp 3(Tập 2) :: When's your birthday Nam? - It's on the 2nd of April::_ a_  giờ là si_ h nhật của _ ạn vậy, Nam? - Nó và_  ng_ y 2 tháng 4 ; Bao giờ là sinh nhật của bạn vậy, Nam? - Nó vào ngày 2 tháng 4
Tiếng Anh Lớp 3(Tập 2) :: 2. When's your birthday Hoa? - It's on the 6th of March::2. Kh_  nào _ hì sinh nh_ _  Hoa? - Ngày 6 _ háng 3 ; 2. Khi nào thì sinh nhật Hoa? - Ngày 6 tháng 3
Tiếng Anh Lớp 3(Tập 2) :: Oh that's my birthday too - Really? - Yes it's on the 6th of March::Ồ, đó c_ ng _ à sinh nhật _ ôi - Thật _ ? - Ừ, nó _ ào _ gày 6 t_ áng 3 ; Ồ, đó cũng là sinh nhật tôi - Thật ư? - Ừ, nó vào ngày 6 tháng 3
Tiếng Anh Lớp 3(Tập 2) :: 3. Hi Tom, when's your birthday? - It's on the 15th of January::3. Ch_ o _ om, k_ _  _ ào _ inh nhậ_  bạn? - N_  và_  _ _ ày 15 th_ ng 1 ; 3. Chào Tom, khi nào sinh nhật bạn? - Nó vào ngày 15 tháng 1
Tiếng Anh Lớp 3(Tập 2) :: Sorry? - My birthday is in the 15th of January - I see::_ in lỗ_ ? - Sinh nhậ_  tôi _ à và_  ngày 15 tháng 1 - Tôi t_ ấy rồi ; Xin lỗi? - Sinh nhật tôi là vào ngày 15 tháng 1 - Tôi thấy rồi
Tiếng Anh Lớp 3(Tập 2) :: 4. When's your birthday Linda? - It's on the 26th of July::4. K_ i nào sinh nhật _ _ _  vậy, Linda? - V_ _  ng_ y 26 _ hán_  7 ; 4. Khi nào sinh nhật bạn vậy, Linda? - Vào ngày 26 tháng 7
Tiếng Anh Lớp 3(Tập 2) :: Of June or July? It's on the 26th of July::Th_ n_  6 hay t_ _ _ g 7? N_  vào ngày 26 tháng 7 ; Tháng 6 hay tháng 7? Nó vào ngày 26 tháng 7
Tiếng Anh Lớp 3(Tập 2) :: Page 27: Activity 6: Let's chant: Months of the year::_ _ ang 27: Ho_ t động 6: Cùng đọc vang: Cá_  th_ ng tron_  n_ m ; Trang 27: Hoạt động 6: Cùng đọc vang: Các tháng trong năm
Tiếng Anh Lớp 3(Tập 2) :: One, two, three, four, January, Ferbuary, March::Mộ_ , h_ i, ba, bố_ , Thá_ g 1, t_ _ ng 2, th_ ng 3 ; Một, hai, ba, bốn, Tháng 1, tháng 2, tháng 3
Tiếng Anh Lớp 3(Tập 2) :: Now, it's time to start, April, May and June::Giờ _ _  tớ_  lúc _ ắt đầu, thán_  4, tháng 5, tháng 6 ; Giờ đã tới lúc bắt đầu, tháng 4, tháng 5, tháng 6
Tiếng Anh Lớp 3(Tập 2) :: Sing a happy June, July, August, September::Cùng hát th_ t vui thán_  6 tháng 7 tháng 8 ; Cùng hát thật vui tháng 6 tháng 7 tháng 8
Tiếng Anh Lớp 3(Tập 2) :: Let's play together October, November and December::Cùn_  c_ ơi _ ớ_  nhau thán_  10, tháng 11, t_ án_  12 ; Cùng chơi với nhau tháng 10, tháng 11, tháng 12
Tiếng Anh Lớp 3(Tập 2) :: Remember, remember, remember::_ ãy nhớ, hãy n_ ớ, hãy nhớ ; Hãy nhớ, hãy nhớ, hãy nhớ
Tiếng Anh Lớp 3(Tập 2) :: Page 28: Lesson 3: Activity 1: Listen and repeat::Tran_  28: Bài 3: H_ _ t _ _ ng 1: Ng_ e v_  nh_ c lại ; Trang 28: Bài 3: Hoạt động 1: Nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: F- fourth It's the 4th of June::F - fourth Là ngày 4 th_ ng 6 ; F - fourth Là ngày 4 tháng 6
Tiếng Anh Lớp 3(Tập 2) :: ch- March My birthday is on the 5th of March::ch- M_ _ ch Sinh _ hật tôi là _ ào ng_ y 5 _ háng 3 ; ch- March Sinh nhật tôi là vào ngày 5 tháng 3
Tiếng Anh Lớp 3(Tập 2) :: Page 28: Activity 2: Listen and circle then write and say aloud::Trang 28: Hoạt _ ộng 2: Nghe v_  k_ _ a_ h _ ròn rồi _ iế_  và đọ_  to ; Trang 28: Hoạt động 2: Nghe và khoanh tròn rồi viết và đọc to
Tiếng Anh Lớp 3(Tập 2) :: 1.My birthday is on the 5th of December::1. Sin_  nhật tôi là và_  ngày 5 tháng 12 ; 1. Sinh nhật tôi là vào ngày 5 tháng 12
Tiếng Anh Lớp 3(Tập 2) :: 2. His birthday is on the 21st of March::2. Sinh nhật cậu ấy là vào ngày 21 th_ n_  3 ; 2. Sinh nhật cậu ấy là vào ngày 21 tháng 3
Tiếng Anh Lớp 3(Tập 2) :: 3. Her birthday is on the 16th of October::3. _ i_ h nhậ_  c_ u _ y l_  vào ngà_  16 _ hán_  10 ; 3. Sinh nhật cậu ấy là vào ngày 16 tháng 10
Tiếng Anh Lớp 3(Tập 2) :: 4. My friend's birthday is on the 20th of March::4. Sinh nhật bạn _ _ i là vào n_ à_  20 t_ áng 3 ; 4. Sinh nhật bạn tôi là vào ngày 20 tháng 3
Tiếng Anh Lớp 3(Tập 2) :: Page 28: Activity 3: Let's chant: When's your birthday?::TRang 28: Hoạt đ_ ng 3: Cùng đọc van_ : Khi nào là si_ h nhật _ ạn? ; TRang 28: Hoạt động 3: Cùng đọc vang: Khi nào là sinh nhật bạn?
Tiếng Anh Lớp 3(Tập 2) :: one, two, three, four, When's your birthday Mai? - It's on the 5th of March::m_ _ , _ a_ , ba, _ ố_ , _ hi n_ o l_  sinh nhật bạn, Ma_ ? - Nó vào ng_ y 5 tháng 3 ; một, hai, ba, bốn, Khi nào là sinh nhật bạn, Mai? - Nó vào ngày 5 tháng 3
Tiếng Anh Lớp 3(Tập 2) :: When's your birthday Marry? - It's on the 5th of March, too::K_ i nà_  là sinh _ hật bạ_ , _ arry? - Nó cũng vào ngày 5 th_ ng 3 ; Khi nào là sinh nhật bạn, Marry? - Nó cũng vào ngày 5 tháng 3
Tiếng Anh Lớp 3(Tập 2) :: When's your birthday Nam? - It's on the 2nd of April::K_ i n_ o là s_ _ _  nh_ t bạn, Nam? - Nó _ ào ng_ _  2 _ háng 4 ; Khi nào là sinh nhật bạn, Nam? - Nó vào ngày 2 tháng 4
Tiếng Anh Lớp 3(Tập 2) :: When's your birthday Peter? - It's on the 6th of May::Khi _ ào là sinh nh_ t bạn, Pet_ r? - Nó _ ào ngà_  6 thán_  5 ; Khi nào là sinh nhật bạn, Peter? - Nó vào ngày 6 tháng 5
Tiếng Anh Lớp 3(Tập 2) :: Page 30: Unit 5: Can you swim?::T_ ang 30: Bài 5: _ ạ_  biế_  _ ơi _ hôn_ ? ; Trang 30: Bài 5: Bạn biết bơi không?
Tiếng Anh Lớp 3(Tập 2) :: Lesson 1: Activity 1: Look, listen and repeat::B_ i 1: _ oạt _ ộng 1: Nhìn, nghe và nhắc lại ; Bài 1: Hoạt động 1: Nhìn, nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: A. Look, I can draw a cat - It's really nice::A. Xem nà_ , tôi có th_  vẽ mộ_  c_ n m_ _  - _ ó th_ _  _ ẹp ; A. Xem này, tôi có thể vẽ một con mèo - Nó thật đẹp
Tiếng Anh Lớp 3(Tập 2) :: B. What can you do Phong? - I can dance::B. Bạn có thể làm gì v_ y hả Phong? - Tôi c_  t_ _  nhảy ; B. Bạn có thể làm gì vậy hả Phong? - Tôi có thể nhảy
Tiếng Anh Lớp 3(Tập 2) :: C. What about you Nam? - Me? I can't dance, but i can sing::_ . C_ n bạn thì _ ao, N_ m? - Tô_  à? T_ i không _ iết _ hảy, nh_ ng tôi c_ ng có thể h_ t ; c. Còn bạn thì sao, Nam? - Tôi à? Tôi không biết nhảy, nhưng tôi cũng có thể hát
Tiếng Anh Lớp 3(Tập 2) :: D. Twinkle, twinkle, little star. How I wonder what you are::D. _ _ p lán_ , _ ấ_  l_ n_ , n_ ôi sao nhỏ. _ ôi t_  nhủ bạn là g_  ; D. Lấp lánh, lấp lánh, ngôi sao nhỏ. Tôi tự nhủ bạn là gì
Tiếng Anh Lớp 3(Tập 2) :: Page 30: Activity 2: Point and say::Trang 30: Hoạt đ_ n_  2: Chỉ và nói ; Trang 30: Hoạt động 2: Chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: What can you do? - I can skip skip::Bạn c_  th_  l_ _  gì? - Tôi có thể bật nhảy, _ _ t nhảy ; Bạn có thể làm gì? - Tôi có thể bật nhảy, bật nhảy
Tiếng Anh Lớp 3(Tập 2) :: B. skate C. cook D. swim::B. t_ ư_ t _ án C. _ ấu ăn D. Bơi ; B. trượt ván C. Nấu ăn D. Bơi
