00010	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I {{c1::don't know}} how she stays so fit.	'm not knowing;wasn't knowing;don't know;doesn't know
04300	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences. Choose a phrase from box (i) and a word from box (ii).	Bridget has just bought a new car and a second home. She {{c1::must be making}} a lot of money in her job.	must be;must have | making;wondered
04310	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences. Choose a phrase from box (i) and a word from box (ii).	Have you seen the new art gallery? You {{c1::must have noticed}} it when you drove through the centre of town.	must be;must have to;must have had to;must have | carry;buy;confusing;get up;noticed
04320	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences. Choose a phrase from box (i) and a word from box (ii).	Until fridges were invented, people {{c1::must have had to buy}} food much more frequently.	must be;must have to;must have had to;must have | carry;buy;confusing;get up;noticed
04330	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences. Choose a phrase from box (i) and a word from box (ii).	<b>A</b>: I catch a train to go to work at half past six.<br /><b>B</b>: You {{c1::must have to get up}} really early, then?	must be;must have to;must have had to;must have | carry;buy;confusing;get up;noticed
04340	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences. Choose a phrase from box (i) and a word from box (ii).	Lily and Ava are identical twins and they are in the same class at school. It {{c1::must be confusing}} for their teacher.	must be;must have to;must have had to;must have | carry;buy;confusing;get up;noticed
04350	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences. Choose a phrase from box (i) and a word from box (ii).	I suppose that before the irrigation channels were dug, villagers {{c1::must have had to carry}} water all the way from the river for their crops.	must be;must have to;must have had to;must have | carry;buy;confusing;get up;noticed
04360	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences. Choose a phrase from box (i) and a word from box (ii).	I can't get the door unlocked. You {{c1::must have to turn}} the key in a special way.	must be;must have to;must have had to;must have | turn;costing;work;borrow;walked
04370	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences. Choose a phrase from box (i) and a word from box (ii).	Val's car was in the garage for repair last week, so she {{c1::must have had to borrow}} her mother's to get to work.	must be;must have to;must have had to;must have | turn;costing;work;borrow;walked
04380	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences. Choose a phrase from box (i) and a word from box (ii).	John doesn't have a car, and there's no bus, so he {{c1::must have walked}} all the way to the village.	must be;must have to;must have had to;must have | turn;costing;work;borrow;walked
04390	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences. Choose a phrase from box (i) and a word from box (ii).	<b>A</b>: Karl has left his job at the local newspaper and become a freelance web designer.<br /><b>B</b>: He {{c1::must have to work}} so much harder now.	must be;must have to;must have had to;must have | turn;costing;work;borrow;walked
04400	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences. Choose a phrase from box (i) and a word from box (ii).	<b>A</b>: Simon is taking all his children and grandchildren to New Zealand for a month's holiday this December.<br /><b>B</b>: It {{c1::must be costing}} him a fortune!	must be;must have to;must have had to;must have | turn;costing;work;borrow;walked
04410	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	{{c1::Do you have to}} sing as we're walking along the street? I find it really embarrassing.	Do you have to;Must you
04420	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	Carmen had to leave early. She says she{{c1::'s got to / has to}} be at the airport by seven o'clock.	's got to;has to
04430	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	I hate wearing a suit. {{c1::Have I got to}} wear one for the wedding?	Have I got to;Must I
04440	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	If the company is going to expand it would {{c1::have to}} employ more people.	have got to;have to
04450	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	I can't go out tonight. I{{c1::'ve got to / have to}} look after my little brother.	've got to;have to
04460	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	If you want people to trust you, you{{c1::'ve got to}} tell the truth.	've got to;'ve to
04470	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	Before you start complaining about my handwriting, you{{c1::'ve got to / have to}} remember that I broke my wrist recently.	've got to;have to
04480	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	{{c1::Did you have to}} book tickets when you went to the cinema?	Did you have to;Had you got to
04490	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	He{{c1::'s got to}} get a good grade in his maths exam to get a university place.	's to;'s got to
04500	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	Her husband is a chef, so she never {{c1::has to}} do any cooking.	has got to;has to
04510	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	Stefan is brilliant at basketball. He {{c1::must be / has got to be}} the best player the team has ever had.	must be;has got to be
04520	Unit 18: <i>Must</i> and <i>have</i> (<i>got</i>) <i>to</i>	Complete the sentences with the correct or more natural option. If both options are correct, choose both.	He may not be very good at tennis, but you{{c1::'ve got to / have to}} admit that he tries hard.	've got to;have to
04530	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	Just because a car is small {{c1::needn't}} mean that it isn't powerful.	mustn't;needn't
04540	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	There's plenty of time before the train, so we {{c1::needn't / don't need to}} leave just yet.	needn't;don't need to
04550	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	Modern art {{c1::doesn't need to be}} understood to be appreciated.	needn't be;doesn't need to be
04560	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	You {{c1::don't need to / needn't}} spend very long on your French homework. You should be able to do it in an hour at most.	don't need to;needn't
04570	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	Examination results {{c1::mustn't}} be released to students before 12.00 on Friday 13th June.	needn't;mustn't
04580	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I've rented the room until the end of August, so I {{c1::don't have to}} leave until then.	don't have to;mustn't
04590	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	You {{c1::don't need to have}} children of your own to be a good teacher.	don't need to have;needn't have
04600	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	The council {{c1::mustn't}} be allowed to get away with closing the main library.	don't have to;mustn't
04610	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	For this recipe the herbs {{c1::don't need to}} / <B>needn't </b> be fresh; you could use dried ones instead.	don't need to;needn't
04620	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	The facilities are so good that guests {{c1::needn't}} leave the hotel for anything, except sightseeing.	mustn't;needn't
04630	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	A lot of people speak English in Warsaw, so you {{c1::don't have to}} speak Polish to get by.	mustn't;don't have to
04640	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I'll look after the children while you're away, so you {{c1::mustn't / needn't}} worry about them.	mustn't;needn't
04650	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	We can leave our suitcases at the station so we {{c1::don't have to carry}} <u>don't have to carry</u> them all round town.	choiceA;ChoiceB
04660	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	{{c1::Do I need to fill in}} <u>Need I fill in</u> a form to get free dental treatment?	choiceA;ChoiceB
04670	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	I've decided to go on a diet. Well, you {{c1::needn't look}} <u>needn't to look</u> so surprised.	choiceA;ChoiceB
04680	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	Recent medical developments mean that nobody {{c1::need endure}} <u>need endure</u> the pain caused by migraine ever again.	choiceA;ChoiceB
04690	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	I cooked a special meal for Mia's birthday. But I {{c1::needn't have bothered}} <u>didn't have to have bothered</u>. She texted to say that she was going out to a restaurant with some friends instead.	choiceA;ChoiceB
04700	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	The details of the procedure {{c1::needn't concern / don't need to concern}} <u>don't have to concern</u> us here.	choiceA;ChoiceB
04710	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	To buy clothes nowadays, you {{c1::need go}} <u>need go</u> no further than the local supermarket.	choiceA;ChoiceB
04720	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	I {{c1::need to contact}} <u>need contact</u> my parents urgently.	choiceA;ChoiceB
04730	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	I {{c1::need hardly remind you / hardly need to remind you / hardly need remind you}} <u>need hardly to remind</u> you of the importance of this decision.	choiceA;ChoiceB
04740	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	{{c1::Do we need to / Do we have to / Have we got to}} <u>Need we to book</u> concert seats in advance?	choiceA;ChoiceB
04750	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	I thought Ann might be late. But I {{c1::needn't have worried}} <u>needn't have worried</u> – she turned up on time.	choiceA;ChoiceB
04760	Unit 19: <i>Need(n't)</i>, <i>don’t need to</i> and <i>don't have to</i>	Are the underlined phrases correct? If not, write a correct or more natural phrase.	Although the company's sales figures have fallen over the last year, shareholders {{c1::needn't panic / don't need to panic}} <u>don't have to panic</u> yet.	choiceA;ChoiceB
04770	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	I'll give you some medicine to bring your temperature down. By the morning you {{c1::should feel better}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04780	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	<b>A</b>: Ouch! Your dog just bit me on the leg.<br /><b>B</b>: Sorry, I {{c1::should have warned you that he doesn't like strangers}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04790	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	<b>A</b>: Jan phoned this morning and asked to speak to you.<br /><b>B</b>: But I'd already told her that I was inspecting the building work. She {{c1::should have known I wouldn't be in my office}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04800	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	<b>A</b>: I'm putting on a lot of weight. I think I need to start doing some exercise.<br /><b>B</b>: Well, maybe you {{c1::should take up golf}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04810	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	At the trial, the judge recommended that Paul Thornton, 35, {{c1::should serve at least 12 years in prison}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04820	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	We've lost 10 of our last 12 matches. But we've been unlucky. I really feel we {{c1::should have won at least 8 of those}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04830	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	My parents said that I should go to university, but I just wanted to get a job and earn some money. But now I know that I {{c1::should have followed their advice}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04840	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	The woods that we're going to walk in are likely to be very muddy, so you {{c1::should wear your wellington boots}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04850	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	High levels of pollution have been found in the waters of Sandy Bay. A warning has been issued that holidaymakers {{c1::should avoid swimming in the area}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04860	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	<b>A</b>: Mona and Karim came to dinner last night. I was expecting them at eight o'clock but they didn't arrive until nine – and they didn't let me know.<br /><b>B</b>: That was very thoughtless of them. I really think they {{c1::should have texted to say they would be late}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04870	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	I did four of the five questions in the exam, but afterwards I learnt that I {{c1::should have answered only three of them}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04880	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences. Choose a verb from list (i) and an ending from list (ii). Use <i>should</i> + infinitive or <i>should have</i> + infinitive in your answer.	It's not very far from here to Stratford. If you're driving, it {{c1::should take less than an hour}}.	answer;avoid;feel;follow;know;serve;take;take up;text;warn;wear;win | golf;swimming in the area;their advice;better;at least 12 years in prison;only three of them;your wellington boots;you that he doesn't like strangers;to say they would be late;less than an hour;I wouldn't be in my office;at least 8 of those
04890	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	<b>A</b>: When I woke up this morning I found I had big red spots all over my body.<br /><b>B</b>: I {{c1::should}} go and see the doctor if I were you.	ought to;should
04900	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	Fire doors in the building {{c1::should}} be kept closed at all times.	should;ought to
04910	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	Local people {{c1::should}} have been consulted before the power station was built.	had better;should
04920	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	It looks a bit cold outside. Maybe you {{c1::ought to / should}} put a coat on.	ought to;should
04930	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	<b>A</b>: Hannah moves house next week, doesn't she?<br /><b>B</b>: Yes, she {{c1::must}} be really busy packing.	should;must
04940	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	Children {{c1::ought to}} be encouraged to do more sport out of school.	ought to;had better
04950	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	We're completely lost! I think we {{c1::should / 'd better}} go back the way we came.	should;'d better
04960	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	<b>A</b>: Please come in and take a seat.<br /><b>B</b>: Thanks. Where {{c1::should}} I sit?	should;ought
04970	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	My wife is ill, so I {{c1::shall}} be taking the next few days off work.	should;shall
04980	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	<b>A</b>: Can I speak to Mr Jackson, please.<br /><b>B</b>: Certainly. Who {{c1::shall / should}} I say is calling?	shall;should
04990	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	I really {{c1::should}} stay at home and do my homework, but it's such a beautiful day that I'm going to the beach instead.	should;shall
05000	Unit 20: <i>Should</i>, <i>ought to</i> and <i>had better</i>	Complete the sentences with the correct option. If both options are correct, choose both.	The bread's been in the oven for about half an hour, so it {{c1::should / ought to}} be ready by now.	should;ought to
05010	What can I practise here?	Complete the sentences. Choose all possible correct answers.	The flowers are green at first but {{c1::turn}} yellow by late summer.	become;turn;get;come
05020	What can I practise here?	Complete the sentences. Choose all possible correct answers.	Before the meeting started, {{c1::Marcus introduced the new secretary to us / the new secretary was introduced to us}}.	Marcus introduced us the new secretary;Marcus introduced the new secretary to us;the new secretary was introduced us;the new secretary was introduced to us
05030	What can I practise here?	Complete the sentences. Choose all possible correct answers.	Before the secret of silk manufacture was brought to Europe, the material {{c1::was believed to grow}} on trees.	believed to grow;was believed to grow;was believed growing;was believed grow
05040	What can I practise here?	Complete the sentences. Choose all possible correct answers.	If he is found guilty {{c1::he will be given}} a long prison sentence.	somebody will give him;people will give him;he will be given;he will be giving
05050	What can I practise here?	Complete the sentences. Choose all possible correct answers.	{{c1::It was decided that Dr Keegan should}} take over as managing director of the company.	Dr Keegan was decided to;There was decided that Dr Keegan should;It was decided that Dr Keegan should;Dr Keegan has been decided to
05060	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I was watching that TV programme: '{{c1::Who wants}} to be a millionaire?'	Who want;Which wants;Who wants;Whom wants
05070	What can I practise here?	Complete the sentences. Choose all possible correct answers.	<b>A</b>: Can you look after all these books for me?<br /><b>B</b>: {{c1::Don't you have anywhere / Have you nowhere}} else to put them?	Don't you have nowhere;Don't you have anywhere;Haven't you nowhere;Have you nowhere
05080	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	When I saw him 20 years later, he'd {{c1::gone}} completely bald.	gone;got
05090	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	Hard-copy newspapers will eventually {{c1::become}} irrelevant as people increasingly get their news from the Internet.	get;become
05100	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	The spider bite {{c1::got}} infected and I had to take antibiotics.	turned;got
05110	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	It rained during September and the grapes {{c1::went}} mouldy before we had a chance to pick them.	got;went
05120	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	You could tell he was really embarrassed, because his face {{c1::turned}} bright red.	turned;became
05130	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	Oh, no, the window's broken! Dad will {{c1::go}} mad.	become;go
05140	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	You'll pass your driving test easily. Don't {{c1::get}} worked up about it.	get;become
05150	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	As I walked along the dark street, I {{c1::became}} aware that someone was following me.	became;got
05160	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	His eye was swollen and beginning to {{c1::turn}} blue.	become;turn
05170	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	The test questions started off easy, but they {{c1::got}} difficult pretty quickly.	became;got
05180	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	She decided to {{c1::become}} a doctor after she had taken care of her father when he was seriously ill.	become;get
05190	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	Complete the sentences. Choose the correct or more natural verb.	After I had flu, I found that I quickly {{c1::got}} tired when I did any exercise.	got;became
05200	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	At first I thought it was a kangaroo, but it turned out {{c1::to be}} a large dog.	to be;(to be)
05210	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	The garden appears {{c1::(to be)}} much more overgrown than when I was here last year.	to be;(to be)
05220	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	Richard suggested going by boat. It seemed {{c1::(to be)}} a good idea until the sea started to get rough.	to be;(to be)
05230	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	The work on the bridge was slow at the beginning, but now they seem {{c1::to be}} making good progress.	to be;(to be)
05240	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	The car looked {{c1::(to be)}} in excellent condition, so I was very happy to buy it.	to be;(to be)
05250	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	I thought he was concentrating on the lecture with his eyes closed, but he turned out {{c1::to be}} asleep.	to be;(to be)
05260	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	Under the floorboards I found what appeared {{c1::to be}} an old wooden jewellery box.	to be;(to be)
